timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T23:15:56+02:00,gruss-2,N/A,300.45,300.00
2026-05-20T23:16:06+02:00,gruss-2,N/A,299.70,300.00
2026-05-20T23:16:17+02:00,gruss-2,N/A,298.60,300.00
2026-05-20T23:16:27+02:00,gruss-2,N/A,298.62,300.00
2026-05-20T23:16:37+02:00,gruss-2,N/A,298.67,300.00
2026-05-20T23:16:48+02:00,gruss-2,N/A,299.11,300.00
2026-05-20T23:16:58+02:00,gruss-2,N/A,298.83,300.00
2026-05-20T23:17:09+02:00,gruss-2,N/A,298.58,300.00
2026-05-20T23:17:19+02:00,gruss-2,N/A,299.11,300.00
2026-05-20T23:17:29+02:00,gruss-2,N/A,299.30,300.00
2026-05-20T23:17:39+02:00,gruss-2,N/A,299.39,300.00
2026-05-20T23:17:50+02:00,gruss-2,N/A,298.98,300.00
2026-05-20T23:18:00+02:00,gruss-2,N/A,298.63,300.00
2026-05-20T23:18:10+02:00,gruss-2,N/A,299.18,300.00
2026-05-20T23:18:21+02:00,gruss-2,N/A,299.08,300.00
2026-05-20T23:18:32+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:18:42+02:00,gruss-2,N/A,299.29,300.00
2026-05-20T23:18:52+02:00,gruss-2,N/A,298.92,300.00
2026-05-20T23:19:03+02:00,gruss-2,N/A,298.80,300.00
2026-05-20T23:19:13+02:00,gruss-2,N/A,298.97,300.00
2026-05-20T23:19:23+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:19:34+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:19:44+02:00,gruss-2,N/A,299.36,300.00
2026-05-20T23:19:54+02:00,gruss-2,N/A,299.15,300.00
2026-05-20T23:20:05+02:00,gruss-2,N/A,299.30,300.00
2026-05-20T23:20:15+02:00,gruss-2,N/A,298.73,300.00
2026-05-20T23:20:25+02:00,gruss-2,N/A,298.89,300.00
2026-05-20T23:20:36+02:00,gruss-2,N/A,298.79,300.00
2026-05-20T23:20:46+02:00,gruss-2,N/A,299.29,300.00
2026-05-20T23:20:56+02:00,gruss-2,N/A,298.98,300.00
2026-05-20T23:21:07+02:00,gruss-2,N/A,299.03,300.00
2026-05-20T23:21:17+02:00,gruss-2,N/A,299.39,300.00
2026-05-20T23:21:27+02:00,gruss-2,N/A,298.76,300.00
2026-05-20T23:21:38+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:21:48+02:00,gruss-2,N/A,298.47,300.00
2026-05-20T23:21:58+02:00,gruss-2,N/A,298.46,300.00
2026-05-20T23:22:09+02:00,gruss-2,N/A,299.03,300.00
2026-05-20T23:22:20+02:00,gruss-2,N/A,299.62,300.00
2026-05-20T23:22:30+02:00,gruss-2,N/A,298.38,300.00
2026-05-20T23:22:40+02:00,gruss-2,N/A,299.41,300.00
2026-05-20T23:22:50+02:00,gruss-2,N/A,299.64,300.00
2026-05-20T23:23:01+02:00,gruss-2,N/A,299.28,300.00
2026-05-20T23:23:12+02:00,gruss-2,N/A,299.31,300.00
2026-05-20T23:23:22+02:00,gruss-2,N/A,299.21,300.00
2026-05-20T23:23:32+02:00,gruss-2,N/A,299.49,300.00
2026-05-20T23:23:43+02:00,gruss-2,N/A,300.18,300.00
2026-05-20T23:23:54+02:00,gruss-2,N/A,298.69,300.00
2026-05-20T23:24:04+02:00,gruss-2,N/A,299.14,300.00
2026-05-20T23:24:15+02:00,gruss-2,N/A,299.93,300.00
2026-05-20T23:24:25+02:00,gruss-2,N/A,299.62,300.00
2026-05-20T23:24:36+02:00,gruss-2,N/A,299.00,300.00
2026-05-20T23:24:47+02:00,gruss-2,N/A,299.66,300.00
2026-05-20T23:24:58+02:00,gruss-2,N/A,299.62,300.00
2026-05-20T23:25:08+02:00,gruss-2,N/A,298.79,300.00
2026-05-20T23:25:18+02:00,gruss-2,N/A,298.75,300.00
2026-05-20T23:25:29+02:00,gruss-2,N/A,298.80,300.00
2026-05-20T23:25:39+02:00,gruss-2,N/A,298.37,300.00
