timestamp, power.draw [W]
2026/04/20 23:33:35.640, 8.21 W
2026/04/20 23:33:45.643, 8.41 W
2026/04/20 23:33:55.646, 8.40 W
2026/04/20 23:34:05.649, 8.50 W
2026/04/20 23:34:15.653, 8.21 W
2026/04/20 23:34:25.656, 8.60 W
2026/04/20 23:34:35.659, 8.31 W
2026/04/20 23:34:45.663, 8.40 W
2026/04/20 23:34:55.666, 8.60 W
2026/04/20 23:35:05.670, 8.50 W
2026/04/20 23:35:15.673, 8.21 W
2026/04/20 23:35:25.677, 8.31 W
2026/04/20 23:35:35.680, 8.60 W
2026/04/20 23:35:45.683, 8.40 W
2026/04/20 23:35:55.687, 8.51 W
2026/04/20 23:36:05.690, 8.40 W
2026/04/20 23:36:15.693, 8.40 W
2026/04/20 23:36:25.696, 8.40 W
2026/04/20 23:36:35.700, 8.40 W
2026/04/20 23:36:45.703, 8.50 W
2026/04/20 23:36:55.707, 8.50 W
2026/04/20 23:37:05.709, 8.60 W
2026/04/20 23:37:15.713, 8.79 W
2026/04/20 23:37:25.716, 8.40 W
2026/04/20 23:37:35.719, 9.09 W
2026/04/20 23:37:45.723, 14.64 W
2026/04/20 23:37:55.727, 8.69 W
2026/04/20 23:38:05.730, 8.40 W
2026/04/20 23:38:15.733, 8.50 W
2026/04/20 23:38:25.737, 8.40 W
2026/04/20 23:38:35.740, 14.73 W
2026/04/20 23:38:45.743, 8.60 W
2026/04/20 23:38:55.746, 8.21 W
2026/04/20 23:39:05.749, 8.60 W
2026/04/20 23:39:15.753, 8.11 W
2026/04/20 23:39:25.756, 8.60 W
2026/04/20 23:39:35.760, 8.50 W
2026/04/20 23:39:45.763, 8.70 W
2026/04/20 23:39:55.766, 8.31 W
2026/04/20 23:40:05.769, 8.50 W
2026/04/20 23:40:15.772, 8.40 W
2026/04/20 23:40:25.776, 11.23 W
2026/04/20 23:40:35.779, 8.60 W
2026/04/20 23:40:45.782, 8.80 W
2026/04/20 23:40:55.785, 8.40 W
2026/04/20 23:41:05.788, 8.51 W
2026/04/20 23:41:15.791, 9.29 W
2026/04/20 23:41:25.794, 8.60 W
2026/04/20 23:41:35.798, 8.90 W
2026/04/20 23:41:45.801, 8.89 W
2026/04/20 23:41:55.804, 8.89 W
2026/04/20 23:42:05.808, 8.70 W
2026/04/20 23:42:15.811, 8.70 W
2026/04/20 23:42:25.815, 8.60 W
2026/04/20 23:42:35.819, 8.40 W
2026/04/20 23:42:45.822, 8.41 W
2026/04/20 23:42:55.826, 8.50 W
2026/04/20 23:43:05.829, 10.06 W
2026/04/20 23:43:15.833, 8.31 W
2026/04/20 23:43:25.836, 8.50 W
2026/04/20 23:43:35.839, 8.50 W
2026/04/20 23:43:45.843, 8.70 W
2026/04/20 23:43:55.845, 9.77 W
2026/04/20 23:44:05.849, 8.50 W
2026/04/20 23:44:15.852, 8.30 W
2026/04/20 23:44:25.855, 8.40 W
2026/04/20 23:44:35.858, 8.50 W
2026/04/20 23:44:45.861, 8.50 W
2026/04/20 23:44:55.864, 8.40 W
2026/04/20 23:45:05.868, 8.21 W
2026/04/20 23:45:15.871, 8.40 W
2026/04/20 23:45:25.874, 8.50 W
2026/04/20 23:45:35.877, 8.60 W
2026/04/20 23:45:45.880, 8.60 W
2026/04/20 23:45:55.884, 8.70 W
2026/04/20 23:46:05.887, 8.40 W
2026/04/20 23:46:15.890, 8.69 W
2026/04/20 23:46:25.893, 8.40 W
2026/04/20 23:46:35.897, 14.73 W
2026/04/20 23:46:45.902, 8.60 W
2026/04/20 23:46:55.905, 8.89 W
2026/04/20 23:47:05.908, 8.99 W
2026/04/20 23:47:15.912, 8.79 W
2026/04/20 23:47:25.915, 8.60 W
2026/04/20 23:47:35.917, 8.79 W
2026/04/20 23:47:45.920, 8.99 W
2026/04/20 23:47:55.923, 8.21 W
