,comparison,feature,cohen_d,d_significant,pval_raw,pval_corrected,reject_H0,mean_False,mean_True,direction
83,False vs True,avg_max_incomplete_deps,0.408,True,0.06126768207183015,0.14336637604808256,False,2.951705547538881,2.7983657470585572,False > True
84,False vs True,avg_max_incomplete_deps_adj,0.026,False,0.829568161241025,0.9332641813961531,False,0.13932952321430914,0.13886730718692636,False > True
85,False vs True,avg_incomplete_deps,0.283,False,0.16567207514067506,0.2936914059311967,False,0.9286643237621574,0.8998555033587833,False > True
86,False vs True,avg_incomplete_deps_adj,-0.175,False,0.25934586862585896,0.4100468463408851,False,0.044038832956508955,0.04507131259759446,True > False
87,False vs True,n,-0.165,False,0.022100193580473746,0.06630058074142124,False,158.2037037037037,169.33333333333334,True > False
88,False vs True,s,-0.288,False,0.01078818547706425,0.03944430315051616,True,7.074074074074074,7.962962962962963,True > False
89,False vs True,total_paths,-0.113,False,0.08583851575366647,0.18799953159783458,False,388.25925925925924,407.7962962962963,True > False
90,False vs True,avg_dependency_depth,0.039,False,0.6114513362341003,0.7692452294558036,False,2.540585187379847,2.5316859501932445,False > True
91,False vs True,prop_hf,-0.764,False,0.0008617644175755474,0.010846367157286407,True,0.48415305400002945,0.5066598037413537,True > False
92,False vs True,prop_hi,0.319,False,0.2347506519853474,0.38684262369416406,False,0.3929081068588821,0.38380264064634195,False > True
93,False vs True,avg_head_distance,0.466,True,0.034901152056391035,0.09496359978134304,False,2.42173442189326,2.345758106853209,False > True
94,False vs True,avg_head_distance_adj,0.186,False,0.14803235287599936,0.27491722676971314,False,0.12756992736416656,0.12494181665543404,False > True
95,False vs True,max_head_distance,-0.011,False,1.0,1.0,False,16.40740740740741,16.462962962962962,True > False
